Lands,Land_location,Land_area,Special_location,Soil_type,Utilities_Availability,Pollution,Land_price
Land_1,New Capital City,383.0,Yes,Gravel,Yes,Low,30000000
Land_2,New Capital City,384.0,Yes,Gravel,Yes,Low,30000001
Land_3,New Capital City,385.0,Yes,Gravel,Yes,Low,30000002
Land_4,New Capital City,386.0,Yes,Gravel,Yes,Low,30000003
Land_5,New Capital City,387.0,Yes,Gravel,Yes,Low,30000004
Land_6,New Capital City,388.0,Yes,Gravel,Yes,Low,30000005
Land_7,New Capital City,389.0,Yes,Gravel,Yes,Low,30000006
Land_8,New Capital City,390.0,Yes,Gravel,Yes,Low,30000007
Land_9,New Capital City,391.0,Yes,Gravel,Yes,Low,30000008
Land_10,New Capital City,392.0,Yes,Gravel,Yes,Low,30000009
Land_11,New Capital City,393.0,Yes,Gravel,Yes,Low,30000010
Land_12,New Capital City,394.0,Yes,Gravel,Yes,Low,30000011
Land_13,New Capital City,395.0,Yes,Gravel,Yes,Low,30000012
Land_14,New Capital City,396.0,Yes,Gravel,Yes,Low,30000013
Land_15,New Capital City,397.0,Yes,Gravel,Yes,Low,30000014
Land_16,New Capital City,398.0,Yes,Gravel,Yes,Low,30000015
Land_17,New Capital City,399.0,Yes,Gravel,Yes,Low,30000016
Land_18,New Capital City,400.0,Yes,Gravel,Yes,Low,30000017
Land_19,New Capital City,401.0,Yes,Gravel,Yes,Low,30000018
Land_20,New Capital City,402.0,Yes,Gravel,Yes,Low,30000019
Land_21,New Capital City,403.0,Yes,Gravel,Yes,Low,30000020
Land_22,New Capital City,240.0,Yes,Gravel,Yes,Low,20000000
Land_23,New Capital City,241.0,Yes,Gravel,Yes,Low,20000001
Land_24,New Capital City,242.0,Yes,Gravel,Yes,Low,20000002
Land_25,New Capital City,243.0,Yes,Gravel,Yes,Low,20000003
Land_26,New Capital City,244.0,Yes,Gravel,Yes,Low,20000004
Land_27,New Capital City,245.0,Yes,Gravel,Yes,Low,20000005
Land_28,New Capital City,246.0,Yes,Gravel,Yes,Low,20000006
Land_29,New Capital City,247.0,Yes,Gravel,Yes,Low,20000007
Land_30,New Capital City,248.0,Yes,Gravel,Yes,Low,20000008
Land_31,New Capital City,249.0,Yes,Gravel,Yes,Low,20000009
Land_32,New Capital City,250.0,Yes,Gravel,Yes,Low,20000010
Land_33,New Capital City,251.0,Yes,Gravel,Yes,Low,20000011
Land_34,New Capital City,252.0,Yes,Gravel,Yes,Low,20000012
Land_35,New Capital City,253.0,Yes,Gravel,Yes,Low,20000013
Land_36,New Capital City,254.0,Yes,Gravel,Yes,Low,20000014
Land_37,New Capital City,255.0,Yes,Gravel,Yes,Low,20000015
Land_38,New Capital City,256.0,Yes,Gravel,Yes,Low,20000016
Land_39,New Capital City,257.0,Yes,Gravel,Yes,Low,20000017
Land_40,New Capital City,258.0,Yes,Gravel,Yes,Low,20000018
Land_41,New Capital City,259.0,Yes,Gravel,Yes,Low,20000019
Land_42,New Capital City,260.0,Yes,Gravel,Yes,Low,20000020
Land_43,New Capital City,300.0,Yes,Loam,No,Medium,30000000
Land_44,New Capital City,301.0,Yes,Loam,No,Medium,30000001
Land_45,New Capital City,302.0,Yes,Loam,No,Medium,30000002
Land_46,New Capital City,303.0,Yes,Loam,No,Medium,30000003
Land_47,New Capital City,304.0,Yes,Loam,No,Medium,30000004
Land_48,New Capital City,305.0,Yes,Loam,No,Medium,30000005
Land_49,New Capital City,306.0,Yes,Loam,No,Medium,30000006
Land_50,New Capital City,307.0,Yes,Loam,No,Medium,30000007
Land_51,New Capital City,308.0,Yes,Loam,No,Medium,30000008
Land_52,New Capital City,309.0,Yes,Loam,No,Medium,30000009
Land_53,New Capital City,310.0,Yes,Loam,No,Medium,30000010
Land_54,New Capital City,311.0,Yes,Loam,No,Medium,30000011
Land_55,New Capital City,312.0,Yes,Loam,No,Medium,30000012
Land_56,New Capital City,313.0,Yes,Loam,No,Medium,30000013
Land_57,New Capital City,314.0,Yes,Loam,No,Medium,30000014
Land_58,New Capital City,315.0,Yes,Loam,No,Medium,30000015
Land_59,New Capital City,316.0,Yes,Loam,No,Medium,30000016
Land_60,New Capital City,317.0,Yes,Loam,No,Medium,30000017
Land_61,New Capital City,318.0,Yes,Loam,No,Medium,30000018
Land_62,New Capital City,319.0,Yes,Loam,No,Medium,30000019
Land_63,New Capital City,320.0,Yes,Loam,No,Medium,30000020
Land_64,New Capital City,370.0,Yes,Gravel,Yes,Medium,30000000
Land_65,New Capital City,371.0,Yes,Gravel,Yes,Medium,30000001
Land_66,New Capital City,372.0,Yes,Gravel,Yes,Medium,30000002
Land_67,New Capital City,373.0,Yes,Gravel,Yes,Medium,30000003
Land_68,New Capital City,374.0,Yes,Gravel,Yes,Medium,30000004
Land_69,New Capital City,375.0,Yes,Gravel,Yes,Medium,30000005
Land_70,New Capital City,376.0,Yes,Gravel,Yes,Medium,30000006
Land_71,New Capital City,377.0,Yes,Gravel,Yes,Medium,30000007
Land_72,New Capital City,378.0,Yes,Gravel,Yes,Medium,30000008
Land_73,New Capital City,379.0,Yes,Gravel,Yes,Medium,30000009
Land_74,New Capital City,380.0,Yes,Gravel,Yes,Medium,30000010
Land_75,New Capital City,381.0,Yes,Gravel,Yes,Medium,30000011
Land_76,New Capital City,382.0,Yes,Gravel,Yes,Medium,30000012
Land_77,New Capital City,383.0,Yes,Gravel,Yes,Medium,30000013
Land_78,New Capital City,384.0,Yes,Gravel,Yes,Medium,30000014
Land_79,New Capital City,385.0,Yes,Gravel,Yes,Medium,30000015
Land_80,New Capital City,386.0,Yes,Gravel,Yes,Medium,30000016
Land_81,New Capital City,387.0,Yes,Gravel,Yes,Medium,30000017
Land_82,New Capital City,388.0,Yes,Gravel,Yes,Medium,30000018
Land_83,New Capital City,389.0,Yes,Gravel,Yes,Medium,30000019
Land_84,New Capital City,390.0,Yes,Gravel,Yes,Medium,30000020
Land_85,New Capital City,279.0,Yes,Loam,No,High,14000000
Land_86,New Capital City,280.0,Yes,Loam,No,High,14000001
Land_87,New Capital City,281.0,Yes,Loam,No,High,14000002
Land_88,New Capital City,282.0,Yes,Loam,No,High,14000003
Land_89,New Capital City,283.0,Yes,Loam,No,High,14000004
Land_90,New Capital City,284.0,Yes,Loam,No,High,14000005
Land_91,New Capital City,285.0,Yes,Loam,No,High,14000006
Land_92,New Capital City,286.0,Yes,Loam,No,High,14000007
Land_93,New Capital City,287.0,Yes,Loam,No,High,14000008
Land_94,New Capital City,288.0,Yes,Loam,No,High,14000009
Land_95,New Capital City,289.0,Yes,Loam,No,High,14000010
Land_96,New Capital City,290.0,Yes,Loam,No,High,14000011
Land_97,New Capital City,291.0,Yes,Loam,No,High,14000012
Land_98,New Capital City,292.0,Yes,Loam,No,High,14000013
Land_99,New Capital City,293.0,Yes,Loam,No,High,14000014
Land_100,New Capital City,294.0,Yes,Loam,No,High,14000015
Land_101,New Capital City,295.0,Yes,Loam,No,High,14000016
Land_102,New Capital City,296.0,Yes,Loam,No,High,14000017
Land_103,New Capital City,297.0,Yes,Loam,No,High,14000018
Land_104,New Capital City,298.0,Yes,Loam,No,High,14000019
Land_105,New Capital City,299.0,Yes,Loam,No,High,14000020
Land_106,New Capital City,422.0,No,Clay,No,Low,22750000
Land_107,New Capital City,423.0,No,Clay,No,Low,22750001
Land_108,New Capital City,424.0,No,Clay,No,Low,22750002
Land_109,New Capital City,425.0,No,Clay,No,Low,22750003
Land_110,New Capital City,426.0,No,Clay,No,Low,22750004
Land_111,New Capital City,427.0,No,Clay,No,Low,22750005
Land_112,New Capital City,428.0,No,Clay,No,Low,22750006
Land_113,New Capital City,429.0,No,Clay,No,Low,22750007
Land_114,New Capital City,430.0,No,Clay,No,Low,22750008
Land_115,New Capital City,431.0,No,Clay,No,Low,22750009
Land_116,New Capital City,432.0,No,Clay,No,Low,22750010
Land_117,New Capital City,433.0,No,Clay,No,Low,22750011
Land_118,New Capital City,434.0,No,Clay,No,Low,22750012
Land_119,New Capital City,435.0,No,Clay,No,Low,22750013
Land_120,New Capital City,436.0,No,Clay,No,Low,22750014
Land_121,New Capital City,437.0,No,Clay,No,Low,22750015
Land_122,New Capital City,438.0,No,Clay,No,Low,22750016
Land_123,New Capital City,439.0,No,Clay,No,Low,22750017
Land_124,New Capital City,440.0,No,Clay,No,Low,22750018
Land_125,New Capital City,441.0,No,Clay,No,Low,22750019
Land_126,New Capital City,442.0,No,Clay,No,Low,22750020
Land_127,New Capital City,300.0,Yes,Loam,Yes,Low,31775000
Land_128,New Capital City,301.0,Yes,Loam,Yes,Low,31775001
Land_129,New Capital City,302.0,Yes,Loam,Yes,Low,31775002
Land_130,New Capital City,303.0,Yes,Loam,Yes,Low,31775003
Land_131,New Capital City,304.0,Yes,Loam,Yes,Low,31775004
Land_132,New Capital City,305.0,Yes,Loam,Yes,Low,31775005
Land_133,New Capital City,306.0,Yes,Loam,Yes,Low,31775006
Land_134,New Capital City,307.0,Yes,Loam,Yes,Low,31775007
Land_135,New Capital City,308.0,Yes,Loam,Yes,Low,31775008
Land_136,New Capital City,309.0,Yes,Loam,Yes,Low,31775009
Land_137,New Capital City,310.0,Yes,Loam,Yes,Low,31775010
Land_138,New Capital City,311.0,Yes,Loam,Yes,Low,31775011
Land_139,New Capital City,312.0,Yes,Loam,Yes,Low,31775012
Land_140,New Capital City,313.0,Yes,Loam,Yes,Low,31775013
Land_141,New Capital City,314.0,Yes,Loam,Yes,Low,31775014
Land_142,New Capital City,315.0,Yes,Loam,Yes,Low,31775015
Land_143,New Capital City,316.0,Yes,Loam,Yes,Low,31775016
Land_144,New Capital City,317.0,Yes,Loam,Yes,Low,31775017
Land_145,New Capital City,318.0,Yes,Loam,Yes,Low,31775018
Land_146,New Capital City,319.0,Yes,Loam,Yes,Low,31775019
Land_147,New Capital City,320.0,Yes,Loam,Yes,Low,31775020
Land_148,New Capital City,256.0,No,Clay,Yes,High,4500000
Land_149,New Capital City,257.0,No,Clay,Yes,High,4500001
Land_150,New Capital City,258.0,No,Clay,Yes,High,4500002
Land_151,New Capital City,259.0,No,Clay,Yes,High,4500003
Land_152,New Capital City,260.0,No,Clay,Yes,High,4500004
Land_153,New Capital City,261.0,No,Clay,Yes,High,4500005
Land_154,New Capital City,262.0,No,Clay,Yes,High,4500006
Land_155,New Capital City,263.0,No,Clay,Yes,High,4500007
Land_156,New Capital City,264.0,No,Clay,Yes,High,4500008
Land_157,New Capital City,265.0,No,Clay,Yes,High,4500009
Land_158,New Capital City,266.0,No,Clay,Yes,High,4500010
Land_159,New Capital City,267.0,No,Clay,Yes,High,4500011
Land_160,New Capital City,268.0,No,Clay,Yes,High,4500012
Land_161,New Capital City,269.0,No,Clay,Yes,High,4500013
Land_162,New Capital City,270.0,No,Clay,Yes,High,4500014
Land_163,New Capital City,271.0,No,Clay,Yes,High,4500015
Land_164,New Capital City,272.0,No,Clay,Yes,High,4500016
Land_165,New Capital City,273.0,No,Clay,Yes,High,4500017
Land_166,New Capital City,274.0,No,Clay,Yes,High,4500018
Land_167,New Capital City,275.0,No,Clay,Yes,High,4500019
Land_168,New Capital City,276.0,No,Clay,Yes,High,4500020
Land_169,New Capital City,230.0,No,Clay,Yes,Low,6000000
Land_170,New Capital City,231.0,No,Clay,Yes,Low,6000001
Land_171,New Capital City,232.0,No,Clay,Yes,Low,6000002
Land_172,New Capital City,233.0,No,Clay,Yes,Low,6000003
Land_173,New Capital City,234.0,No,Clay,Yes,Low,6000004
Land_174,New Capital City,235.0,No,Clay,Yes,Low,6000005
Land_175,New Capital City,236.0,No,Clay,Yes,Low,6000006
Land_176,New Capital City,237.0,No,Clay,Yes,Low,6000007
Land_177,New Capital City,238.0,No,Clay,Yes,Low,6000008
Land_178,New Capital City,239.0,No,Clay,Yes,Low,6000009
Land_179,New Capital City,240.0,No,Clay,Yes,Low,6000010
Land_180,New Capital City,241.0,No,Clay,Yes,Low,6000011
Land_181,New Capital City,242.0,No,Clay,Yes,Low,6000012
Land_182,New Capital City,243.0,No,Clay,Yes,Low,6000013
